,Region,Variable,Year,Unit,Value
3,DNK,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.049031552192026914
4,DNK,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.04059884187593166
5,DNK,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.037772808928639684
6,DNK,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.02910598937430723
7,DNK,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.03437344723464435
8,DNK,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.02434019416733555
9,DNK,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.06264572105645377
0,IRL,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.05302347038809757
1,IRL,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.03534974914941468
2,IRL,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.03509140187993772
3,IRL,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.027054956461565076
4,IRL,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.024722911020125714
5,IRL,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.024303096707225653
6,IRL,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.021788824173923072
7,IRL,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.029361628510466527
8,IRL,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.025617899775099474
9,IRL,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.12284873998039329
0,EST,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.07916466181304721
1,EST,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.05307248501418762
2,EST,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.049872064107349234
3,EST,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.0413792793319453
4,EST,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.03652311165273387
5,EST,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.0352050796620154
6,EST,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.02895038605611192
7,EST,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.035559882541809626
8,EST,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.027131402977825944
9,EST,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.06661435310306371
0,AUT,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.09731847112757373
1,AUT,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.06760564079347191
2,AUT,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.06644137716362832
3,AUT,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.050271442889217345
4,AUT,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.04225915359735836
5,AUT,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.03771554742193957
6,AUT,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.02795650815924035
7,AUT,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.030012404867359385
8,AUT,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.019715904075170876
9,AUT,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.033315524306839484
0,CZE,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.09441606105880614
1,CZE,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.06857674287739268
2,CZE,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.0681498049173993
3,CZE,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.05592308527896545
4,CZE,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.04959692426592492
5,CZE,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.04681002997024345
6,CZE,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.03694816376610033
7,CZE,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.042499247627578327
8,CZE,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.030647823818419146
9,CZE,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.05661624732662936
0,FIN,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.08249615197295855
1,FIN,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.05709753162848366
2,FIN,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.05546516623857041
3,FIN,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.04567006654935066
4,FIN,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.04084421893778899
5,FIN,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.03930669319930135
6,FIN,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.03271579110009156
7,FIN,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.04100222741399102
8,FIN,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.03197794293271336
9,FIN,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.08383985052406792
0,FRA,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.06641434471888581
1,FRA,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.04310890712303371
2,FRA,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.04166607608070145
3,FRA,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.02967189524233396
4,FRA,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.02439214530115632
5,FRA,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.021699339063434603
6,FRA,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.016467337997545052
7,FRA,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.019040284813625245
8,FRA,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.014281343105877416
9,FRA,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.04678202700442515
0,DEU,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.08042646771901814
1,DEU,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.05324598747533466
2,DEU,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.05092751378313099
3,DEU,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.03679162327207557
4,DEU,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.030241008199348312
5,DEU,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.026881712875263
6,DEU,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.0200869170915148
7,DEU,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.0226210351035444
8,DEU,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.0159441681182574
9,DEU,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.0357512340097575
0,GRC,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.04846341671768441
1,GRC,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.031488033372723774
2,GRC,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.031543915600039864
3,GRC,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.022583538590771245
4,GRC,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.01852513632415963
5,GRC,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.016625140595412674
6,GRC,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.01277175847487791
7,GRC,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.015103862636502128
8,GRC,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.011826743739054913
9,GRC,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.03763650212850776
0,HRV,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.03868965884485066
1,HRV,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.023487585791374763
2,HRV,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.022091709042564966
3,HRV,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.014938214653893766
4,HRV,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.011928673270904794
5,HRV,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.010375438791731957
6,HRV,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.007642320494019509
7,HRV,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.009000503185746142
8,HRV,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.006601844854850956
9,HRV,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.021650150088162214
0,HUN,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.06321276151655918
1,HUN,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.04194380470485823
2,HUN,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.04135254522956896
3,HUN,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.03228205498998065
4,HUN,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.028473774080466852
5,HUN,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.026466341307737732
6,HUN,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.021482665055781412
7,HUN,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.0266814742734454
8,HUN,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.020261678621268386
9,HUN,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.06040178574608754
0,ISL,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,
1,ISL,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,
2,ISL,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,
3,ISL,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,
4,ISL,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,
5,ISL,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,
6,ISL,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,
7,ISL,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,
8,ISL,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,
9,ISL,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,
0,ITA,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.05974788327574892
1,ITA,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.038466986240582535
2,ITA,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.03738625421134225
3,ITA,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.025131522053926277
4,ITA,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.019805416315467967
5,ITA,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.01694498910100975
6,ITA,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.012027585356494737
7,ITA,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.012791772093879772
8,ITA,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.008759591882097831
9,ITA,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.018067418792990574
0,LVA,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.08997260177044135
1,LVA,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.06328739293633229
2,LVA,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.06108879897510074
3,LVA,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.05199506328399112
4,LVA,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.04698963058314618
5,LVA,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.04540438412494736
6,LVA,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.03746998747451189
7,LVA,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.045791851016768914
8,LVA,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.0343154830953536
9,LVA,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.07876905952702505
0,LTU,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.07730628998901737
1,LTU,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.0520582630644988
2,LTU,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.04951364442964948
3,LTU,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.04118675477247052
4,LTU,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.0362878134575412
5,LTU,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.03468471420221173
6,LTU,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.027990280752062197
7,LTU,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.03469781998422064
8,LTU,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.025887589086553208
9,LTU,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.06194526501201801
0,SVK,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.06664340928491085
1,SVK,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.045141534882885366
2,SVK,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.04405091048593054
3,SVK,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.03311974789307245
4,SVK,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.028159782848685425
5,SVK,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.02537701007813437
6,SVK,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.01931830759664514
7,SVK,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.02152505451673228
8,SVK,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.015753785457607337
9,SVK,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.04128957932148327
0,LIE,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.08990955843234616
1,LIE,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.0581663415499202
2,LIE,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.054619613406632385
3,LIE,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.03316190813974109
4,LIE,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.020571023231069338
5,LIE,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.021457705266891294
6,LIE,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.013300230537329313
7,LIE,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.009576165986877105
8,LIE,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.005852101436424899
9,LIE,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.008689483951055151
0,MLT,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.0
1,MLT,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.0
2,MLT,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.0
3,MLT,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.0
4,MLT,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.0
5,MLT,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.0
6,MLT,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.0
7,MLT,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.0
8,MLT,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.0
9,MLT,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.0
0,BEL,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.07652111390229786
1,BEL,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.05120352524896922
2,BEL,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.05007876317940701
3,BEL,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.03783168547237024
4,BEL,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.031806600593110614
5,BEL,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.029042430679451763
6,BEL,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.02219838774158517
7,BEL,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.026425941727181056
8,BEL,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.019769856376535732
9,BEL,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.060668532319754644
0,LUX,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.09088156301016379
1,LUX,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.06311548791405551
2,LUX,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.05749381220706726
3,LUX,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.039536047185212496
4,LUX,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.03316393701616726
5,LUX,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.02888514403075465
6,LUX,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.020116909789878352
7,LUX,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.022355047659171103
8,LUX,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.014455737532255517
9,LUX,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.027871399231133815
0,NLD,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.07234041308119717
1,NLD,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.04566481260953908
2,NLD,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.04450029698074453
3,NLD,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.02939963074906444
4,NLD,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.0221784634830721
5,NLD,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.018693694352684382
6,NLD,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.012388339628934994
7,NLD,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.01184411875718679
8,NLD,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.00702220479675106
9,NLD,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.00924005114505827
0,NOR,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.06072512686820796
1,NOR,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.0398558495949576
2,NOR,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.03702977714272152
3,NOR,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.028726978900002368
4,NOR,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.024762529313015313
5,NOR,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.023330630214716576
6,NOR,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.01863237571886014
7,NOR,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.02253671039569268
8,NOR,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.016728065222326654
9,NOR,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.03976461374435065
0,POL,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.0718554153824064
1,POL,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.04741732993679922
2,POL,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.045374759871237506
3,POL,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.034718150144860224
4,POL,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.029403035198648585
5,POL,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.026813595515958234
6,POL,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.020556756634347556
7,POL,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.024255474357596837
8,POL,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.017158696744656216
9,POL,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.04048943144350934
0,PRT,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.0711215605308684
1,PRT,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.059572741851978125
2,PRT,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.06681156949653369
3,PRT,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.06219456756449597
4,PRT,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.06305482946294402
5,PRT,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.06615492922175499
6,PRT,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.06235635993989216
7,PRT,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.08465608465608465
8,PRT,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.07241668876513746
9,PRT,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.18919368993951333
0,ROU,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.04191200573690003
1,ROU,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.02676454178971309
2,ROU,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.025825276370527905
3,ROU,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.01871909668427729
4,ROU,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.015576935462045501
5,ROU,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.014156640237464824
6,ROU,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.011073454463355985
7,ROU,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.012764204580402349
8,ROU,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.009433900824281386
9,ROU,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.025079399767426885
0,SVN,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.05934000755855471
1,SVN,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.036957692435342776
2,SVN,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.035072336225069355
3,SVN,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.021982975051416373
4,SVN,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.0166448796144923
5,SVN,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.013662141169391922
6,SVN,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.009284389015043236
7,SVN,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.0094182161168514
8,SVN,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.0061742471690214885
9,SVN,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.011184733860719175
0,ESP,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.061411429013621864
1,ESP,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.04190954985712867
2,ESP,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.04249209414493182
3,ESP,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.032695677131577915
4,ESP,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.028719505575100425
5,ESP,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.026961622242190588
6,ESP,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.021771852845992326
7,ESP,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.026505115417399118
8,ESP,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.021132570043912436
9,ESP,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.062037140771574496
0,SWE,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.07130572394192895
1,SWE,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.04767027507802966
2,SWE,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.04548985520876874
3,SWE,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.03783807421866635
4,SWE,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.03386043755313737
5,SWE,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.032911921026395674
6,SWE,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.02798988628434769
7,SWE,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.03677345483610141
8,SWE,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.02996086423955662
9,SWE,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.09653984286090615
0,CHE,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.07068427540512083
1,CHE,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.04612235376700309
2,CHE,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.0446360546838217
3,CHE,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.029798745045669723
4,CHE,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.02343194911699496
5,CHE,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.01952626758091716
6,CHE,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.013417353638597121
7,CHE,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.013410933340181652
8,CHE,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.0086149704238253
